beam_id,starttime,TEC_per_m2,dTEC_per_m2,pulse_code,integration_time
64157.0,2025-07-22T05:05:22.0,8.058201514013283e16,4.813825953024367e16,ac,1min
64157.0,2025-07-22T05:06:23.0,6.277834126400126e16,7.513427246834126e16,ac,1min
64157.0,2025-07-22T05:07:24.0,4.7523778127273736e16,1.2636406823141374e16,ac,1min
64157.0,2025-07-22T05:08:29.0,7.0092337104783336e16,3.160768085945866e18,ac,1min
64157.0,2025-07-22T05:09:30.0,5.449824798353553e16,4.141799669741535e16,ac,1min
64157.0,2025-07-22T05:10:31.0,7.28611763215328e16,1.0252936681097202e18,ac,1min
64157.0,2025-07-22T05:11:32.0,5.824263871566321e16,5.85647278681109e19,ac,1min
64157.0,2025-07-22T05:12:33.0,6.371258635030909e16,2.378197351889199e18,ac,1min
64157.0,2025-07-22T05:13:34.0,5.979097698266407e16,4.8744836220745944e16,ac,1min
64157.0,2025-07-22T05:14:34.0,6.671817482233814e16,3.722055880474993e19,ac,1min
64157.0,2025-07-22T05:15:35.0,5.539248120985546e16,2.2541098576263852e18,ac,1min
64157.0,2025-07-22T05:16:36.0,7.282988518663026e16,3.6801018885019607e18,ac,1min
64157.0,2025-07-22T05:17:37.0,6.668923386405069e16,1.866482826894397e18,ac,1min
64157.0,2025-07-22T05:18:38.0,8.072544729259944e16,2.2524821919196874e17,ac,1min
64157.0,2025-07-22T05:19:39.0,7.71923844162642e16,2.1552303330364618e20,ac,1min
64157.0,2025-07-22T05:20:44.0,5.7075776663340056e16,1.1055090415548832e18,ac,1min
64157.0,2025-07-22T05:21:45.0,5.382612909155774e16,1.8503486928485757e18,ac,1min
64157.0,2025-07-22T05:22:46.0,5.563563618751564e16,2.3050126117750912e17,ac,1min
64157.0,2025-07-22T05:23:47.0,7.421151542664934e16,2.700782816208828e18,ac,1min
64157.0,2025-07-22T05:24:48.0,7.562967486887522e16,3.867586546438309e17,ac,1min
64157.0,2025-07-22T05:25:49.0,6.840509193448428e16,3.911465284400641e18,ac,1min
64157.0,2025-07-22T05:26:54.0,6.74791298891455e16,3.034077723861485e18,ac,1min
64157.0,2025-07-22T05:27:55.0,5.692942368829155e16,1.8399049914504448e18,ac,1min
64157.0,2025-07-22T05:28:56.0,6.163223358646279e16,2.3005180763964084e16,ac,1min
64157.0,2025-07-22T05:29:57.0,7.590540254120976e16,1.7122762592810366e20,ac,1min
64157.0,2025-07-22T05:30:58.0,7.074755556843899e16,5.498639780737761e16,ac,1min
64157.0,2025-07-22T05:31:59.0,6.177498929404778e16,4.0304240861165304e16,ac,1min
64157.0,2025-07-22T05:32:59.0,5.8265201135186104e16,4.7764542773753624e16,ac,1min
64157.0,2025-07-22T05:34:00.0,7.435133227640426e16,4.210097623315677e17,ac,1min
64157.0,2025-07-22T05:35:01.0,7.02044369040367e16,2.2862472962517916e18,ac,1min
64157.0,2025-07-22T05:36:02.0,6.059695182435622e16,2.0043877314552276e18,ac,1min
64157.0,2025-07-22T05:37:03.0,6.599964982045448e16,2.701624490509333e18,ac,1min
64157.0,2025-07-22T05:38:04.0,6.587665012208612e16,2.670782393124961e18,ac,1min
64157.0,2025-07-22T05:39:09.0,7.58138538220368e16,4.3101540347538693e18,ac,1min
64157.0,2025-07-22T05:40:10.0,5.62227042110612e16,2.2770926375841438e20,ac,1min
64157.0,2025-07-22T05:41:11.0,6.9276261240348344e16,7.68115625417784e16,ac,1min
64157.0,2025-07-22T05:42:12.0,6.8299309331887e16,2.915803301579147e17,ac,1min
64157.0,2025-07-22T05:43:13.0,6.826343368517075e16,1.6330436671461318e16,ac,1min
64157.0,2025-07-22T05:44:14.0,6.764810772355e16,1.0383218998334857e18,ac,1min
64157.0,2025-07-22T05:45:19.0,8.083262070343091e16,5.431621761168357e19,ac,1min
64157.0,2025-07-22T05:46:20.0,6.749939727510745e16,1.7049027561101215e18,ac,1min
64157.0,2025-07-22T05:47:21.0,6.554560261078569e16,1.4566528173525362e16,ac,1min
64157.0,2025-07-22T05:48:22.0,5.870448990964869e16,3.748178861359536e16,ac,1min
